ISO,COD-UID,contributor,error,resource name,file name,pcode headers,name headers
ABW,cod-ab-abw,OCHA Field Information Services Section (FISS),,abw_admbnda_adm0_2020.zip,,ADM0_PCODE,ADM0_EN
AFG,cod-ab-afg,OCHA Field Information Services Section (FISS),Could not find shp or json boundary resource,,,,
AGO,cod-ab-ago,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,ago_adm_gadm_ine_ocha_20180904_SHP.zip,,,
AGO,cod-ab-ago,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,ago_adm_gadm_ine_ocha_20180904_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
AGO,cod-ab-ago,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,ago_adm_gadm_ine_ocha_20180904_SHP.zip,,ADM0_PCODE,ADM0_EN
AGO,cod-ab-ago,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,ago_adm_gadm_ine_ocha_20180904_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM3_EN"
AGO,cod-ab-ago,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,ago_admbndl_admALL_gadm_ine_ocha_itos_20180904.zip,,,
AGO,cod-ab-ago,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,ago_admbndp_admALL_gadm_ine_ocha_itos_20180904.zip,,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM3_EN, ADM1_EN"
AIA,cod-ab-aia,OCHA Field Information Services Section (FISS),,AIA_adm0.zip,,,
ALB,cod-ab-alb,OCHA Field Information Services Section (FISS),,alb_adm_2019b_SHP.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
ALB,cod-ab-alb,OCHA Field Information Services Section (FISS),,alb_adm_2019b_SHP.zip,,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM3_EN, ADM1_EN"
