ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB description,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units
AFG,https://data.humdata.org/dataset/cod-ab-afg,cod-enhanced,OCHA Field Information Services Section (FISS),"Afghanistan administrative level 0-2 boundaries (COD-AB) dataset.  
  
This dataset is structured into 2 levels:  
- Admin 1: 34 Provinces  
- Admin 2: 401 Districts  
  
  
Dates associated with this dataset:  
- 22 October 2019: boundaries created by the source  
- 22 October 2019: last edit to the dataset before publishing  
- 17 November 2021: valid for use by the humanitarian community  
- 30 July 2024: dataset reviewed for accuracy and completeness  
- 22 October 2025: this metadata updated  
  
Quality assured, configured, and published by HDX and OCHA Field Information Services Section (FISS).",34,401,,
ALB,https://data.humdata.org/dataset/cod-ab-alb,cod-standard,OCHA Field Information Services Section (FISS),"Albania administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2015

NOTE:  See COD-AB caveats about a multi-part ADM2 feature.  See Caveats about two ADM2 featgure names.

The HDX metadata dates are based on the enactment of the most recent administrative structure adjustments on June 21 2015.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org and UNHCR

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Albania [COD-PS](https://data.humdata.org/dataset/cod-ps-alb).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 12 feature(s).  The normal administrative level 1 feature type is 'County'.

Administrative level 2 contains 61 feature(s).  The normal administrative level 2 feature type is 'Municipality'.

Administrative level 3 contains 374 feature(s).  The normal administrative level 3 feature type is 'Administrative Unit'.

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",12,61,374,
DZA,https://data.humdata.org/dataset/cod-ab-dza,cod-enhanced,OCHA Middle East and North Africa (ROMENA),"Algeria administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  

Sourced from UNHCR (from GAUL)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 48 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 1,541 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",48,1541,,
AGO,https://data.humdata.org/dataset/cod-ab-ago,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"Angola administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about two special ADM2 records.  The shapefile zipfile in the HDX dataset was corrected in March 2025.  It previously excluded the ADM1 layer.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB requires improvements.

Sourced from OCHA Regional Office for Southern and Eastern Africa (ROSEA)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Angola [COD-PS](https://data.humdata.org/dataset/cod-ps-ago).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is 'Province'.

Administrative level 2 contains 161 feature(s).  The normal administrative level 2 feature type is 'Municipality'.

Administrative level 3 contains 539 feature(s).  The normal administrative level 3 feature type is 'currently not known'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on March 06, 2025.",18,161,539,
AIA,https://data.humdata.org/dataset/cod-ab-aia,cod-standard,OCHA Field Information Services Section (FISS),"Anguilla administrative level 0 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1980

NOTE:  The time period of the dataset is based on Anguilla's 19 December 1980 succession from Saint Kitts and Nevis.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Anguilla [COD-PS](https://data.humdata.org/dataset/cod-ps-aia).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",,,,
ATG,https://data.humdata.org/dataset/cod-ab-atg,cod-standard,OCHA Field Information Services Section (FISS),"Antigua and Barbuda administrative level 0 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Population source data limitations prevent reliable sub-national disaggregation.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Antigua and Barbuda [COD-PS](https://data.humdata.org/dataset/cod-ps-atg).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",,,,
ARG,https://data.humdata.org/dataset/cod-ab-arg,cod-standard,OCHA Latin America and the Caribbean (ROLAC),"Argentina administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from Instituto Geografico Nacional and UNHCR

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Argentina [COD-PS](https://data.humdata.org/dataset/cod-ps-arg).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 24 feature(s).  The normal administrative level 1 feature type is 'province'.

Administrative level 2 contains 525 feature(s).  The normal administrative level 2 feature type is 'department (partidos in Buenos Aries province, commun in Buenos Aries city)'.

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",24,525,,
ARM,https://data.humdata.org/dataset/cod-ab-arm,cod-enhanced,OCHA Field Information Services Section (FISS),"Armenia administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  ADM2 level is unofficial but sometimes used by government.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2024.  The COD-AB does not require any update.

Sourced from Government of Armenia (various agencies - see metadata)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Armenia [COD-PS](https://data.humdata.org/dataset/cod-ps-arm).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-arm).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 11 feature(s).  The normal administrative level 1 feature type is 'Province'.

Administrative level 2 contains 38 feature(s).  The normal administrative level 2 feature type is 'Community'.

Administrative level 3 contains 805 feature(s).  The normal administrative level 3 feature type is 'currently not known'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",11,38,805,
ABW,https://data.humdata.org/dataset/cod-ab-abw,cod-standard,OCHA Field Information Services Section (FISS),"Aruba administrative level 0 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1986

NOTE:  The time period of the dataset is based on Aruba's 1 January 1986 succession from the former Netherlands Antilles.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Aruba [COD-PS](https://data.humdata.org/dataset/cod-ps-abw).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",,,,
AZE,https://data.humdata.org/dataset/cod-ab-aze,cod-enhanced,OCHA Field Information Services Section (FISS),"Azerbaijan administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-AB updated 2023/10/17.  COD-PS data rounded to whole hundreds.  COD-AB and COD-EM include unofficial Economic Regions.  COD-AB and PS only link completely at administrative level 1.  COD-PS to be updated with 2019 data.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org and Open Street Map

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Azerbaijan [COD-PS](https://data.humdata.org/dataset/cod-ps-aze).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-aze).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 74 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",74,,,
BHS,https://data.humdata.org/dataset/cod-ab-bhs,cod-standard,OCHA Field Information Services Section (FISS),"Bahamas administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in April 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Bahamas [COD-PS](https://data.humdata.org/dataset/cod-ps-bhs).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 32 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",32,,,
BHR,https://data.humdata.org/dataset/cod-ab-bhr,cod-standard,OCHA Middle East and North Africa (ROMENA),"Bahrain administrative level 0 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  

Sourced from FAO GUAL DATA 2008_WFP

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",,,,
BGD,https://data.humdata.org/dataset/cod-ab-bgd,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Bangladesh administrative level 0-4 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2022

NOTE:  COD-PS extends only to administrative level 3.   The spelling of 5 districts (and two of their divisions) were changed in 2018.  The new spellings are Chattogram (for Chittagong), Barishal (for Barisal), Cumilla (for Comilla), Jashore (for Jessore) and Bogura (for Bogra).  These changes will be reflected in the next COD-AB update.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB requires improvements.

Sourced from Bangladesh Bureau of Statistics (BBS)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Bangladesh [COD-PS](https://data.humdata.org/dataset/cod-ps-bgd).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is 'Division'.

Administrative level 2 contains 64 feature(s).  The normal administrative level 2 feature type is 'District (Zila)'.

Administrative level 3 contains 544 feature(s).  The normal administrative level 3 feature type is 'upazila (subdistrict) or thana'.

Administrative level 4 contains 5,160 feature(s).  The normal administrative level 4 feature type is 'currently not known'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",8,64,544,5160
BRB,https://data.humdata.org/dataset/cod-ab-brb,cod-standard,OCHA Field Information Services Section (FISS),"Barbados administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-AB P-codes created by OCHA and are not official.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from GADM database of Global Administrative Areas (www.gadm.org)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Barbados [COD-PS](https://data.humdata.org/dataset/cod-ps-brb).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 11 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",11,,,
BLR,https://data.humdata.org/dataset/cod-ab-blr,cod-enhanced,OCHA Field Information Services Section (FISS),"Belarus administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1960

NOTE:  The time period of the dataset is based establishment of the current six regions (voblasts) and the city of Minsk with special status on January 20, 1960.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from UNICEF

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-blr).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 7 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 119 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",7,119,,
BLZ,https://data.humdata.org/dataset/cod-ab-blz,cod-enhanced,OCHA Field Information Services Section (FISS),"Belize administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Belize [COD-PS](https://data.humdata.org/dataset/cod-ps-blz).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 6 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",6,,,
BEN,https://data.humdata.org/dataset/cod-ab-ben,cod-enhanced,OCHA West and Central Africa (ROWCA),"Benin administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Secondary Administrative Level Boundary (SALB) Project, OCHA ROWCA

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Benin [COD-PS](https://data.humdata.org/dataset/cod-ps-ben).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-ben).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 12 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 77 feature(s).  The normal administrative level 2 feature type is 'currently not known'.
These administrative boundaries became out of date in:  2021

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",12,77,,
BMU,https://data.humdata.org/dataset/cod-ab-bmu,cod-standard,OCHA Field Information Services Section (FISS),"Bermuda administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-AB caveats about ADM2, and 'Hamilton' features.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Bermuda [COD-PS](https://data.humdata.org/dataset/cod-ps-bmu).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 9 feature(s).  The normal administrative level 1 feature type is 'Parish'.

Administrative level 2 contains 9 feature(s).  The normal administrative level 2 feature type is 'Municipality'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",9,9,,
BTN,https://data.humdata.org/dataset/cod-ab-btn,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Bhutan administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2020

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from OCHA ROAP

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Bhutan [COD-PS](https://data.humdata.org/dataset/cod-ps-btn).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 20 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 205 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",20,205,,
BOL,https://data.humdata.org/dataset/cod-ab-bol,cod-enhanced,OCHA Field Information Services Section (FISS),"Bolivia (Plurinational State of) administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-AB caveats about treatment of lakes and salt flats.

This COD-AB was most recently reviewed for accuracy and necessary changes in September 2024.  The COD-AB does not require any update.

Sourced from Ministerio de Desarrollo Rural y Tierras

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Bolivia (Plurinational State of) [COD-PS](https://data.humdata.org/dataset/cod-ps-bol).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 9 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 113 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Administrative level 3 contains 343 feature(s).  The normal administrative level 3 feature type is 'currently not known'.

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",9,113,343,
