ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units,COD-AB services,COD-PS URL,COD-PS level,COD-PS contributor,COD-PS services,COD-EM URL,COD-EM level,COD-EM services
AFG,https://data.humdata.org/dataset/cod-ab-afg,cod-enhanced,OCHA Field Information Services Section (FISS),34,401,,,True,https://data.humdata.org/dataset/cod-ps-afg,,OCHA Afghanistan,True,,,
ALB,https://data.humdata.org/dataset/cod-ab-alb,cod-standard,OCHA Field Information Services Section (FISS),12,61,374,,False,https://data.humdata.org/dataset/cod-ps-alb,cod-enhanced,UNFPA,True,,,
DZA,https://data.humdata.org/dataset/cod-ab-dza,cod-enhanced,OCHA Middle East and North Africa (ROMENA),48,1541,,,True,,,,,,,
AGO,https://data.humdata.org/dataset/cod-ab-ago,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),18,161,539,,True,https://data.humdata.org/dataset/cod-ps-ago,cod-standard,UNFPA,True,,,
AIA,https://data.humdata.org/dataset/cod-ab-aia,cod-standard,OCHA Field Information Services Section (FISS),,,,,False,https://data.humdata.org/dataset/cod-ps-aia,cod-enhanced,UNFPA,True,,,
ATG,https://data.humdata.org/dataset/cod-ab-atg,cod-standard,OCHA Field Information Services Section (FISS),,,,,False,https://data.humdata.org/dataset/cod-ps-atg,cod-standard,UNFPA,True,,,
ARG,https://data.humdata.org/dataset/cod-ab-arg,cod-standard,OCHA Latin America and the Caribbean (ROLAC),24,525,,,False,https://data.humdata.org/dataset/cod-ps-arg,cod-enhanced,UNFPA,True,,,
ARM,https://data.humdata.org/dataset/cod-ab-arm,cod-standard,OCHA Field Information Services Section (FISS),11,38,805,,True,https://data.humdata.org/dataset/cod-ps-arm,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-arm,cod-enhanced,True
ABW,https://data.humdata.org/dataset/cod-ab-abw,cod-standard,OCHA Field Information Services Section (FISS),,,,,False,https://data.humdata.org/dataset/cod-ps-abw,cod-enhanced,UNFPA,True,,,
AZE,https://data.humdata.org/dataset/cod-ab-aze,cod-standard,OCHA Field Information Services Section (FISS),74,,,,True,https://data.humdata.org/dataset/cod-ps-aze,cod-standard,OCHA Field Information Services Section (FISS),True,https://data.humdata.org/dataset/cod-em-aze,cod-enhanced,True
BHS,https://data.humdata.org/dataset/cod-ab-bhs,cod-standard,OCHA Field Information Services Section (FISS),32,,,,False,https://data.humdata.org/dataset/cod-ps-bhs,cod-standard,UNFPA,False,,,
BHR,https://data.humdata.org/dataset/cod-ab-bhr,cod-standard,OCHA Middle East and North Africa (ROMENA),,,,,False,,,,,,,
BGD,https://data.humdata.org/dataset/cod-ab-bgd,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),8,64,544,5160,True,https://data.humdata.org/dataset/cod-ps-bgd,cod-enhanced,UNFPA,True,,,
BRB,https://data.humdata.org/dataset/cod-ab-brb,cod-standard,OCHA Field Information Services Section (FISS),11,,,,False,https://data.humdata.org/dataset/cod-ps-brb,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
BLR,https://data.humdata.org/dataset/cod-ab-blr,cod-enhanced,OCHA Field Information Services Section (FISS),7,119,,,True,,,,,https://data.humdata.org/dataset/cod-em-blr,cod-enhanced,True
BLZ,https://data.humdata.org/dataset/cod-ab-blz,cod-enhanced,OCHA Field Information Services Section (FISS),6,,,,True,https://data.humdata.org/dataset/cod-ps-blz,cod-standard,OCHA Latin America and the Caribbean (ROLAC),False,,,
BEN,https://data.humdata.org/dataset/cod-ab-ben,cod-enhanced,OCHA West and Central Africa (ROWCA),12,77,,,True,https://data.humdata.org/dataset/cod-ps-ben,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-ben,cod-enhanced,False
BMU,https://data.humdata.org/dataset/cod-ab-bmu,cod-standard,OCHA Field Information Services Section (FISS),9,9,,,False,https://data.humdata.org/dataset/cod-ps-bmu,cod-enhanced,UNFPA,True,,,
