country,theme,level,dataset name,item,title,description
DJI,PS,cod-standard,cod-ps-dji,dataset,Djibouti - Subnational Population Statistics,"Djibouti administrative level 0-1 2009 population statistics

REFERENCE YEAR:  2009



"
DJI,PS,cod-standard,cod-ps-dji,resource,dji_admpop_2009.xlsx,Djibouti administrative level 0-1 2009 population statistics
DJI,PS,cod-standard,cod-ps-dji,resource,dji_admpop_adm0_2009.csv,Djibouti administrative level 0 2009 population statistics
DJI,PS,cod-standard,cod-ps-dji,resource,dji_admpop_adm1_2009.csv,Djibouti administrative level 1 2009 population statistics
GAB,AB,cod-standard,cod-ab-gab,dataset,Gabon - Subnational Administrative Boundaries,"Provinces and Departments of Gabon

The dataset represents the provinces and Departments of Gabon with harmonized PCODE of ROWCA and Humanitarian Response pcodes."
GAB,AB,cod-standard,cod-ab-gab,resource,gab_admbndp0_1m_salb.zip,
GAB,AB,cod-standard,cod-ab-gab,resource,gab_admbndp1_1m_salb.zip,
GAB,AB,cod-standard,cod-ab-gab,resource,gab_admbndp2_1m_salb.shp_.zip,
GAB,AB,cod-standard,cod-ab-gab,resource,GAB_pcode_rowca_20150210.xlsx,
GAB,AB,cod-standard,cod-ab-gab,resource,gab_adm_1m_salb_EMF.zip,Gabon administrative level 0-2 EMF files
GAB,AB,cod-standard,cod-ab-gab,resource,gab_ppt_map.pptx,Powerpoint maps that include the COD admin for simplified use
GMB,PS,cod-standard,cod-ps-gmb,dataset,Gambia - Subnational Population Statistics,"Gambia administrative level 0 (country), 1 (local government area) 2021 population statistics

REFERENCE YEAR:  2021

These tables are suitable for database or GIS linkage to the [Gambia - Subnational Administrative Boundaries](https://data.humdata.org/dataset/cod-ab-gmb) layers using the ADM0 and ADM1_PCODE items."
GMB,PS,cod-standard,cod-ps-gmb,resource,GMB_AdminBoundaries_TabularData.xlsx,"Gambia administrative level 0 (country), 1 (local government area), and 2 (district) gazetteer"
GMB,PS,cod-standard,cod-ps-gmb,resource,gmb_popadm_2021.xlsx,"Gambia administrative level 0 (country), 1 (local government area), 2021 population statistics"
GMB,PS,cod-standard,cod-ps-gmb,resource,gmb_popadm_2021_admin1.csv,"Administrative level 1 (local government area) population statistics suitable for linking to the gmb_admbnda_adm1_lga_1m_wfp_ocha shapefile.
"
GMB,PS,cod-standard,cod-ps-gmb,resource,GMB admin 0 population,Gambia administrative level 0 2021 population statistics
GMB,PS,cod-standard,cod-ps-gmb,resource,GMB admin 1 population,Gambia administrative level 1 2021 population statistics
STP,AB,cod-standard,cod-ab-stp,dataset,Sao Tome and Principe - Subnational Administrative Boundaries,"Admin Level 1 Boundaries (Provinces) and Admin Level 2 Boundaries (Districts) of São Tomé and Principé

REFERENCE YEAR:  2020

The dataset represents the provinces and districts of São Tomé and Principé with harmonized PCODE of ROWCA and Humanitarian Response pcodes.

These boundaries are suitable for database or GIS linkage to the [Sao Tome and Principe - Subnational Population Statistics](https://data.humdata.org/dataset/cod-ps-stp)."
STP,AB,cod-standard,cod-ab-stp,resource,stp_admgaz_2020.xlsx,Sao Tome and Principe administrative level 0-2 gazetteer
STP,AB,cod-standard,cod-ab-stp,resource,stp_adm_gadm_2020_SHP.zip,Sao Tome and Principe administrative level 0-2 boundary shapefiles
STP,AB,cod-standard,cod-ab-stp,resource,stp_adm_gadm_2020_EMF.zip,Sao Tome and Principe administrative level 0-2 boundary EMF files
STP,AB,cod-standard,cod-ab-stp,resource,stp_adm_gadm_2020.gdb.zip,Sao Tome and Principe administrative level 0-2 boundary geodatabase
STP,AB,cod-standard,cod-ab-stp,resource,stp_ppt_map.pptx,Powerpoint maps that include the COD admin for simplified use
