ISO,COD-UID,error,resource name,pcode headers,name headers,total pop header,duplicates,blanks
ABW,cod-ps-abw,No csv resources found,,,,,,
AFG,cod-ps-afg,,afg_admpop_adm1_2021_v2.csv,"Admin0_Code, Admin1_Code","Admin0_Name, Admin1_Name",T_TL,,
AFG,cod-ps-afg,,afg_popadm_adm0_2021_v2.csv,Admin0_Code,Admin0_Name,T_TL,,
AGO,cod-ps-ago,,ago_admpop_adm0_2022.csv,ADM0_PCODE,,T_TL,,
AGO,cod-ps-ago,,ago_admpop_adm1_2022_v2.csv,"ADM0_PCODE, ADM1_PCODE",ADM0_NAME,T_TL,,ADM0_PCODE
AGO,cod-ps-ago,,ago_admpop_adm2_2022.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_NAME, ADM2_NAME, ADM1_NAME2, ADM1_NAME",T_TL,,ADM0_PCODE
AIA,cod-ps-aia,No csv resources found,,,,,,
ALB,cod-ps-alb,,alb_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ALB,cod-ps-alb,,alb_admpop_adm1_2021.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_EN, ADM0_EN",T_TL,,
ARG,cod-ps-arg,,arg_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ARG,cod-ps-arg,,arg_admpop_adm1_2021.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_EN, ADM0_EN",T_TL,,
ARM,cod-ps-arm,,arm_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
ARM,cod-ps-arm,,arm_admpop_adm1_2021.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_EN",T_TL,,
ATG,cod-ps-atg,No csv resources found,,,,,,
AZE,cod-ps-aze,No csv resources found,,,,,,
BDI,cod-ps-bdi,,BDI_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
BDI,cod-ps-bdi,,BDI_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
BDI,cod-ps-bdi,,BDI_admpop_adm2_2022.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_NAME, ADM2_NAME, ADM1_NAME",T_TL,,
BEN,cod-ps-ben,,ben_adm0_pop_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BEN,cod-ps-ben,,ben_adm1_pop_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BEN,cod-ps-ben,,ben_adm2_pop_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE",ADM0_EN,T_TL,,
BFA,cod-ps-bfa,,bfa_adm0_pop_v2.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BFA,cod-ps-bfa,,bfa_adm1_pop_v2.csv,"ADM0_PCODE, ADM1_PCODE",ADM0_EN,T_TL,,
BFA,cod-ps-bfa,,bfa_adm2_pop_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE",ADM0_EN,T_TL,,
BFA,cod-ps-bfa,,bfa_adm3_pop_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM3_PCODE, ADM1_PCODE",ADM0_EN,T_TL,,
BGD,cod-ps-bgd,,bgd_admpop_adm0_bd_v2.csv,admin0Pcode,admin0Name_en,T_TL,,
BGD,cod-ps-bgd,,bgd_admpop_adm1_bd_v2.csv,"admin0Pcode, admin1Pcode","admin1Name_en, admin0Name_en",T_TL,,
BGD,cod-ps-bgd,,bgd_admpop_adm2_bd_v2.csv,"admin0Pcode, admin1Pcode, admin2Pcode","admin1Name_en, admin2RefName, admin2Name_en, admin0Name_en",T_TL,,
BGD,cod-ps-bgd,,bgd_admpop_adm3_bd_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE, admin3Pcode","admin0Name_en, admin2Name_en, admin3RefName, admin3Name_en, admin1Name_en",T_TL,,
BHS,cod-ps-bhs,No csv resources found,,,,,,
BLM,cod-ps-blm,,blm_admpop_adm0_2016_insee_v2.csv,ADM0_PCODE,,T_TL,,
BLM,cod-ps-blm,,blm_admpop_adm1_2016_insee_v2.csv,"ADM0_PCODE, ADM1_PCODE",,T_TL,,"F_20_24, F_25_29, F_30_34, F_35_39, F_40_44, F_45_49, F_50_54, F_55_59, F_60_64, F_65plus, M_00_04, M_05_09, M_10_14, M_15_19, M_20_24, M_25_29, M_30_34, M_35_39, M_40_44, M_45_49, M_50_54, M_55_59, M_60_64, M_65plus"
BLZ,cod-ps-blz,,blz_adm0_pop_v2.csv,ADM0_PCODE,,T_TL,,
BLZ,cod-ps-blz,,blz_adm1_pop_v2.csv,"ADM0_PCODE, ADM1_PCODE",,T_TL,,
BMU,cod-ps-bmu,,blz_adm1_pop_v2.csv,"ADM0_PCODE, ADM1_PCODE",,T_TL,,
BMU,cod-ps-bmu,,blz_adm2_pop_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE",,T_TL,,
BMU,cod-ps-bmu,,blz_adm0_pop_v2.csv,ADM0_PCODE,,T_TL,,
BOL,cod-ps-bol,,bol_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BOL,cod-ps-bol,,bol_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE",ADM0_EN,T_TL,,
BRA,cod-ps-bra,,bra_admpop_adm0_2022.csv,ADM0_PCODE,,T_TL,,
BRA,cod-ps-bra,,bra_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE",,T_TL,,
BRB,cod-ps-brb,,brb_admpop_adm0_2010_v2.csv,ADM0_PCODE,NAME_0,T_TL,,
